gp_id,gp_label,site_name,patient_count,rec_count,poor_pcg_count,poor_ecg_count,murmur_flag_count,low_ef_flag_count,af_flag_count,assigned_rec_count,assigned_poor_pcg_count,assigned_poor_ecg_count,assigned_murmur_flag_count,assigned_low_ef_flag_count,assigned_af_flag_count
670,GP-670,Chestnut Practice,4,5,1,0,0,0,0,4,1,0,0,0,0
671,GP-671,Church Lane Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
672,GP-672,Woodfield Road Medical Centre,1,3,0,1,0,0,0,1,0,0,0,0,0
673,GP-673,Chiswick Family Practice E85130,2,2,1,0,0,0,0,2,1,0,0,0,0
674,GP-674,Park Medical Centre,0,11,0,6,1,0,2,0,0,0,0,0,0
675,GP-675,The Lonsdale Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
676,GP-676,Meadow View Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
677,GP-677,Church Lane Surgery,1,1,0,0,0,0,0,1,0,0,0,0,0
678,GP-678,Civic Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
679,GP-679,Willow Tree Family Doctors,5,13,0,5,0,2,1,5,0,0,0,1,1
680,GP-680,Spring Grove Medical Practice,0,0,0,0,0,0,0,0,0,0,0,0,0
681,GP-681,Mapesbury Medical Group,1,31,2,9,2,4,2,1,0,0,0,1,1
682,GP-682,Yiewsley Family Practice,1,2,0,0,0,0,0,1,0,0,0,0,0
683,GP-683,Roxbourne Medical Centre,1,6,0,1,0,0,0,1,0,0,0,0,0
684,GP-684,Hammersmith Surgery,3,27,0,4,2,2,2,3,0,0,0,0,1
685,GP-685,Wembley Park Drive Medical Centre,5,11,0,1,0,0,1,5,0,1,0,0,1
686,GP-686,Honeypot Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
687,GP-687,Roxbourne Medical Centre,163,310,0,39,20,21,5,163,0,1,4,4,2
688,GP-688,Brook Green Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
689,GP-689,Oxgate Gardens Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
690,GP-690,Freuchen Medical Centre,1,1,0,0,0,0,0,1,0,0,0,0,0
691,GP-691,Pimlico Health at The Marven Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
692,GP-692,Greenford Road Medical Centre,2,3,0,0,0,1,1,3,0,0,0,1,1
693,GP-693,Premier Medical Centre,0,1,0,0,0,1,0,0,0,0,0,0,0
694,GP-694,Crawford Street Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
695,GP-695,The Practice Feltham,5,19,0,2,2,1,2,5,0,0,1,0,1
696,GP-696,Redwood Practice,0,0,0,0,0,0,0,0,0,0,0,0,0
697,GP-697,Preston Hill Surgery,0,3,0,0,0,0,0,0,0,0,0,0,0
698,GP-698,Pimlico Health at The Marven Surgery,0,6,0,3,0,0,0,0,0,0,0,0,0
699,GP-699,Belgravia Surgery,8,13,0,1,0,0,1,8,0,0,0,0,1
700,GP-700,North End Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
701,GP-701,Wembley Park Drive Medical Centre,4,9,1,2,2,1,1,4,0,0,2,1,1
702,GP-702,Greenford Road Medical Centre,1,2,0,0,0,0,0,1,0,0,0,0,0
703,GP-703,Premier Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
